"﻿变量名",name,name_tw,name_en,name_kr,desc,desc_tw,desc_en,desc_kr,quality,weight,duration,levelRange,award,extraAward,fightinPoints,cardNums,cardNatures,cardNatureRate,condition1,condition1Arg,rate1
默认值,"""""","""""","""""","""""","""""","""""","""""","""""",1,1,1,<1;100>,{},{},<1.0;1.5>,5,<>,50,0,{1=2},50
序号,任务名字,任務名字,任务名字,任务名字_韩,任务描述,任务描述,任务描述,任务描述_韩,品质,权值,时长(分钟),等级范围(左闭右闭),基础奖励,额外奖励,战力范围修正,上阵卡牌数量,卡牌元素类型,卡牌元素类型成功率,额外条件1 (1-星级;2-阶数;3-资质),额外条件1参数 ({星级/阶数/资质=数量}),成功率加成几率1
1109,Soothe the Pokémon,安撫精靈,Soothe the Pokémon,포켓몬 달래기,Soothe the Pokémons that hinders the citizens from traveling around in this city.,把在本市擾亂市民正常出行的精靈安撫平定下來。,Soothe the Pokémons that hinders the citizens from traveling around in this city.,도시에서 시민들의 정상적인 외출을 방해하는 포켓몬을 달래주세요.,5,15,300,<95;99>,{gold=77500;2103=2},{2103=1;521=1},<1.1;1.3>,4,<11;6;12>,45,2,{11=3},55
1110,Kiwifruit,奇異果實,Kiwifruit,키위,Form a team of Pokémons to explore the forest and find kiwifruits.,組織一隊精靈前往森林進行探索，需找一種名為奇異果實的食物。,Form a team of Pokémons to explore the forest and find kiwifruits.,"포켓몬 팀을 꾸려 숲을 탐색하고, 키위라는 과일을 찾으세요.",5,15,300,<95;99>,{gold=77500;2103=2},{2103=1;501=1},<1.1;1.3>,4,<5;7;13>,45,3,{3=3},55
1111,Eliminate pests,消滅害蟲,Eliminate pests,해충 박멸,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,近期森林中的害蟲氾濫，需要各方精靈前去清除。,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,"최근에 숲에서 해충이 범람하여, 포켓몬을 보내 박멸이 필요함.",1,0,60,<100;104>,{gold=33000;2101=2},{2101=1;900=1},<0.4;0.6>,3,<2;8;13>,40,1,{9=1},60
1112,Pick berries,採集樹果,Pick berries,과일 채집,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,又到了樹果盛產的季節，和精靈組織一場採集樹果的郊遊吧！,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,과일 수확의 계절이 찾아왔습니다. 포켓몬들과 함께 과일을 따러 가세요!,1,0,60,<100;104>,{gold=33000;2101=2},{2101=1;5000=2},<0.4;0.6>,3,<11;12;16>,40,2,{12=1},60
1113,Waste sorting,垃圾分類,Waste sorting,분리수거,Let's sort the waste in order to protect our environment.,為了更好的保護環境，來進行垃圾分類吧。,Let's sort the waste in order to protect our environment.,"환경을 지키기 위해, 쓰레기를 분리수거해주세요.",1,0,60,<100;104>,{gold=33000;2101=2},{2101=1;451=3},<0.4;0.6>,3,<14;12;18>,40,3,{2=1},60
1114,Missing Pokémon,尋寵啟示,Missing Pokémon,애완동물 실종 전단지,The trainer in town has lost his Pokémon. Help him find it.,鎮上的訓練家把自己的精靈弄丟了，需要請求幫忙一起尋找。,The trainer in town has lost his Pokémon. Help him find it.,마을에서 어느 트레이너가 자신의 포켓몬을 잃어버렸답니다. 같이 찾아 주세요.,2,0,120,<100;104>,{gold=41250;2101=4},{2101=2;900=3},<0.5;0.7>,3,<14;16;18>,40,1,{9=1},60
1115,Spiritual Mentor,心靈導師,Spiritual Mentor,심령술사,Use Pokémons to comfort the lost villagers and relief the depressing mood.,用精靈去溫暖失落的村民，釋放壓抑的心情。,Use Pokémons to comfort the lost villagers and relief the depressing mood.,"낙심하는 마을 주민을 포켓몬으로 위로해 주고, 우울한 기분을 풀어주세요.",2,0,120,<100;104>,{gold=41250;2101=4},{2101=2;5000=3},<0.5;0.7>,3,<2;8;15>,40,2,{12=1},60
1116,Help to find Pokémon,協助尋寵,Help to find Pokémon,애완동물 찾아주기,Help rookie trainers train their Pokémons.,幫助新手訓練家馴服自己的精靈。,Help rookie trainers train their Pokémons.,새로 온 트레이너의 포켓몬 훈련을 도와주세요.,2,0,120,<100;104>,{gold=41250;2101=4},{2101=2;451=6},<0.5;0.7>,3,<6;12;16>,40,3,{2=1},60
1117,Catch the criminal,抓捕罪犯,Catch the criminal,범죄자 체포,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,警方找到通緝多年偷盜精靈的小偷，協助員警進行抓捕！,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,경찰이 수년간 수배한 포켓몬 도둑을 찾아냈습니다. 경찰을 도와 범인을 잡으세요!,3,0,180,<100;104>,{gold=49500;2102=2},{2102=1;900=3},<0.6;0.8>,3,<6;16;18>,40,1,{9=2},60
1118,Protect the villagers,保護村民,Protect the villagers,마을 주민 보호,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,野生的精靈最近暴亂，經常襲擊鎮上村民，請前去保護村民安全！,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,"야생의 포켓몬들이 최근 폭동을 일으켜, 마을 주민을 습격하고 있습니다. 주민들을 지켜주세요!",3,0,180,<100;104>,{gold=49500;2102=2},{2102=1;5000=3},<0.6;0.8>,3,<12;16;18>,40,2,{12=2},60
1119,Follow the target,跟蹤目標,Follow the target,목표 추적,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,員警請求訓練家説明跟蹤目標人物，並回饋行蹤。,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,경찰이 트레이너에게 타깃 인물을 추적하고 행적을 알려달라 요청했습니다.,3,0,180,<100;104>,{gold=49500;2102=2},{2102=1;451=9},<0.6;0.8>,3,<3;11;16>,40,3,{3=2},60
1120,Escort the Professor,護送博士,Escort the Professor,박사님 호송하기,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,博士委託訓練家協會來護送自己，要求安全抵達目的地。,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,박사님이 트레이너 협회에 자신을 목적지까지 안전하게 호송해달라 요청했습니다.,4,15,240,<100;104>,{gold=66000;2102=4},{2102=2;29001=2},<0.9;1.1>,4,<7;13;5>,40,1,{9=2},60
1121,Escort the Document,押運文件,Escort the Document,문서 전달,"The mysterious organization requested for a trainer to protect and deliver the confidential documents. ",神秘機構委託訓練家來幫忙押運機密檔，完成後可獲得豐厚報酬。,"The mysterious organization requested for a trainer to protect and deliver the confidential documents. ",수수께끼의 기관이 트레이너에게 기밀문서 운송을 위탁했습니다. 완료하면 푸짐한 보수를 얻을 수 있습니다,4,15,240,<100;104>,{gold=66000;2102=4},{2102=2;522=1},<0.9;1.1>,4,<1;11;15>,40,2,{12=2},60
1122,Private Investigator,私人偵探,Private Investigator,사설 탐정,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,村民私下委託訓練家們來調查自己物件的行蹤。,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,마을 주민이 사적으로 트레이너들에게 대상의 행적을 조사해달라 위탁했습니다.,4,15,240,<100;104>,{gold=66000;2102=4},{2102=10;gold=20000},<0.9;1.1>,4,<5;7;17>,40,3,{3=2},60
1123,Alola Investigation,阿羅拉調查,Alola Investigation,알로라 조사,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,派遣精靈前往阿羅拉地區，調查當地是否有野生的夢幻出沒。,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,"포켓몬을 알로라 지역으로 파견해, 야생의 뮤가 출몰했는지 조사하라 했습니다.",5,15,300,<100;104>,{gold=82500;2103=2},{2103=1;rmb=100},<1.1;1.3>,4,<3;8;18>,40,1,{9=3},60
1124,Soothe the Pokémon,安撫精靈,Soothe the Pokémon,포켓몬 달래기,Soothe the Pokémons that hinders the citizens from traveling around in this city.,把在本市擾亂市民正常出行的精靈安撫平定下來。,Soothe the Pokémons that hinders the citizens from traveling around in this city.,도시에서 시민들의 정상적인 외출을 방해하는 포켓몬을 달래주세요.,5,15,300,<100;104>,{gold=82500;2103=2},{2103=1;521=1},<1.1;1.3>,4,<10;13;17>,40,2,{12=3},60
1125,Kiwifruit,奇異果實,Kiwifruit,키위,Form a team of Pokémons to explore the forest and find kiwifruits.,組織一隊精靈前往森林進行探索，需找一種名為奇異果實的食物。,Form a team of Pokémons to explore the forest and find kiwifruits.,"포켓몬 팀을 꾸려 숲을 탐색하고, 키위라는 과일을 찾으세요.",5,15,300,<100;104>,{gold=82500;2103=2},{2103=1;501=1},<1.1;1.3>,4,<10;17;5>,40,3,{3=3},60
1126,Eliminate pests,消滅害蟲,Eliminate pests,해충 박멸,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,近期森林中的害蟲氾濫，需要各方精靈前去清除。,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,"최근에 숲에서 해충이 범람하여, 포켓몬을 보내 박멸이 필요함.",1,0,60,<105;109>,{gold=35000;2101=2},{2101=1;900=1},<0.4;0.6>,3,<13;17;5>,40,1,{9=1},60
1127,Pick berries,採集樹果,Pick berries,과일 채집,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,又到了樹果盛產的季節，和精靈組織一場採集樹果的郊遊吧！,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,과일 수확의 계절이 찾아왔습니다. 포켓몬들과 함께 과일을 따러 가세요!,1,0,60,<105;109>,{gold=35000;2101=2},{2101=1;5000=2},<0.4;0.6>,3,<2;8;16>,40,2,{13=1},60
1128,Waste sorting,垃圾分類,Waste sorting,분리수거,Let's sort the waste in order to protect our environment.,為了更好的保護環境，來進行垃圾分類吧。,Let's sort the waste in order to protect our environment.,"환경을 지키기 위해, 쓰레기를 분리수거해주세요.",1,0,60,<105;109>,{gold=35000;2101=2},{2101=1;451=3},<0.4;0.6>,3,<2;11;17>,40,3,{2=1},60
1129,Missing Pokémon,尋寵啟示,Missing Pokémon,애완동물 실종 전단지,The trainer in town has lost his Pokémon. Help him find it.,鎮上的訓練家把自己的精靈弄丟了，需要請求幫忙一起尋找。,The trainer in town has lost his Pokémon. Help him find it.,마을에서 어느 트레이너가 자신의 포켓몬을 잃어버렸답니다. 같이 찾아 주세요.,2,0,120,<105;109>,{gold=43750;2101=4},{2101=2;900=3},<0.5;0.7>,3,<4;10;15>,40,1,{9=1},60
1130,Spiritual Mentor,心靈導師,Spiritual Mentor,심령술사,Use Pokémons to comfort the lost villagers and relief the depressing mood.,用精靈去溫暖失落的村民，釋放壓抑的心情。,Use Pokémons to comfort the lost villagers and relief the depressing mood.,"낙심하는 마을 주민을 포켓몬으로 위로해 주고, 우울한 기분을 풀어주세요.",2,0,120,<105;109>,{gold=43750;2101=4},{2101=2;5000=3},<0.5;0.7>,3,<13;5;11>,40,2,{13=1},60
1131,Help to find Pokémon,協助尋寵,Help to find Pokémon,애완동물 찾아주기,Help rookie trainers train their Pokémons.,幫助新手訓練家馴服自己的精靈。,Help rookie trainers train their Pokémons.,새로 온 트레이너의 포켓몬 훈련을 도와주세요.,2,0,120,<105;109>,{gold=43750;2101=4},{2101=2;451=6},<0.5;0.7>,3,<17;5;14>,40,3,{2=1},60
1132,Catch the criminal,抓捕罪犯,Catch the criminal,범죄자 체포,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,警方找到通緝多年偷盜精靈的小偷，協助員警進行抓捕！,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,경찰이 수년간 수배한 포켓몬 도둑을 찾아냈습니다. 경찰을 도와 범인을 잡으세요!,3,0,180,<105;109>,{gold=52500;2102=2},{2102=1;900=3},<0.6;0.8>,3,<17;11;6>,40,1,{9=2},60
1133,Protect the villagers,保護村民,Protect the villagers,마을 주민 보호,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,野生的精靈最近暴亂，經常襲擊鎮上村民，請前去保護村民安全！,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,"야생의 포켓몬들이 최근 폭동을 일으켜, 마을 주민을 습격하고 있습니다. 주민들을 지켜주세요!",3,0,180,<105;109>,{gold=52500;2102=2},{2102=1;5000=3},<0.6;0.8>,3,<1;11;17>,40,2,{13=2},60
1134,Follow the target,跟蹤目標,Follow the target,목표 추적,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,員警請求訓練家説明跟蹤目標人物，並回饋行蹤。,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,경찰이 트레이너에게 타깃 인물을 추적하고 행적을 알려달라 요청했습니다.,3,0,180,<105;109>,{gold=52500;2102=2},{2102=1;451=9},<0.6;0.8>,3,<6;11;16>,40,3,{3=2},60
1135,Escort the Professor,護送博士,Escort the Professor,박사님 호송하기,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,博士委託訓練家協會來護送自己，要求安全抵達目的地。,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,박사님이 트레이너 협회에 자신을 목적지까지 안전하게 호송해달라 요청했습니다.,4,15,240,<105;109>,{gold=70000;2102=4},{2102=2;29001=2},<0.9;1.1>,4,<5;11;14>,40,1,{9=2},60
1136,Escort the Document,押運文件,Escort the Document,문서 전달,"The mysterious organization requested for a trainer to protect and deliver the confidential documents. ",神秘機構委託訓練家來幫忙押運機密檔，完成後可獲得豐厚報酬。,"The mysterious organization requested for a trainer to protect and deliver the confidential documents. ",수수께끼의 기관이 트레이너에게 기밀문서 운송을 위탁했습니다. 완료하면 푸짐한 보수를 얻을 수 있습니다,4,15,240,<105;109>,{gold=70000;2102=4},{2102=2;522=1},<0.9;1.1>,4,<5;14;12>,40,2,{13=2},60
1137,Private Investigator,私人偵探,Private Investigator,사설 탐정,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,村民私下委託訓練家們來調查自己物件的行蹤。,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,마을 주민이 사적으로 트레이너들에게 대상의 행적을 조사해달라 위탁했습니다.,4,15,240,<105;109>,{gold=70000;2102=4},{2102=10;gold=20000},<0.9;1.1>,4,<11;6;12>,40,3,{3=2},60
1138,Alola Investigation,阿羅拉調查,Alola Investigation,알로라 조사,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,派遣精靈前往阿羅拉地區，調查當地是否有野生的夢幻出沒。,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,"포켓몬을 알로라 지역으로 파견해, 야생의 뮤가 출몰했는지 조사하라 했습니다.",5,15,300,<105;109>,{gold=87500;2103=2},{2103=1;rmb=100},<1.1;1.3>,4,<5;7;13>,40,1,{9=3},60
1139,Soothe the Pokémon,安撫精靈,Soothe the Pokémon,포켓몬 달래기,Soothe the Pokémons that hinders the citizens from traveling around in this city.,把在本市擾亂市民正常出行的精靈安撫平定下來。,Soothe the Pokémons that hinders the citizens from traveling around in this city.,도시에서 시민들의 정상적인 외출을 방해하는 포켓몬을 달래주세요.,5,15,300,<105;109>,{gold=87500;2103=2},{2103=1;521=1},<1.1;1.3>,4,<2;8;13>,40,2,{13=3},60
1140,Kiwifruit,奇異果實,Kiwifruit,키위,Form a team of Pokémons to explore the forest and find kiwifruits.,組織一隊精靈前往森林進行探索，需找一種名為奇異果實的食物。,Form a team of Pokémons to explore the forest and find kiwifruits.,"포켓몬 팀을 꾸려 숲을 탐색하고, 키위라는 과일을 찾으세요.",5,15,300,<105;109>,{gold=87500;2103=2},{2103=1;501=1},<1.1;1.3>,4,<11;12;16>,40,3,{3=3},60
1141,Eliminate pests,消滅害蟲,Eliminate pests,해충 박멸,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,近期森林中的害蟲氾濫，需要各方精靈前去清除。,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,"최근에 숲에서 해충이 범람하여, 포켓몬을 보내 박멸이 필요함.",1,0,60,<110;114>,{gold=37000;2101=2},{2101=1;900=1},<0.4;0.6>,3,<14;12;18>,40,1,{10=1},60
1142,Pick berries,採集樹果,Pick berries,과일 채집,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,又到了樹果盛產的季節，和精靈組織一場採集樹果的郊遊吧！,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,과일 수확의 계절이 찾아왔습니다. 포켓몬들과 함께 과일을 따러 가세요!,1,0,60,<110;114>,{gold=37000;2101=2},{2101=1;5000=2},<0.4;0.6>,3,<14;16;18>,40,2,{14=1},60
1143,Waste sorting,垃圾分類,Waste sorting,분리수거,Let's sort the waste in order to protect our environment.,為了更好的保護環境，來進行垃圾分類吧。,Let's sort the waste in order to protect our environment.,"환경을 지키기 위해, 쓰레기를 분리수거해주세요.",1,0,60,<110;114>,{gold=37000;2101=2},{2101=1;451=3},<0.4;0.6>,3,<2;8;15>,40,3,{2=1},60
1144,Missing Pokémon,尋寵啟示,Missing Pokémon,애완동물 실종 전단지,The trainer in town has lost his Pokémon. Help him find it.,鎮上的訓練家把自己的精靈弄丟了，需要請求幫忙一起尋找。,The trainer in town has lost his Pokémon. Help him find it.,마을에서 어느 트레이너가 자신의 포켓몬을 잃어버렸답니다. 같이 찾아 주세요.,2,0,120,<110;114>,{gold=46250;2101=4},{2101=2;900=3},<0.5;0.7>,3,<6;12;16>,40,1,{10=1},60
1145,Spiritual Mentor,心靈導師,Spiritual Mentor,심령술사,Use Pokémons to comfort the lost villagers and relief the depressing mood.,用精靈去溫暖失落的村民，釋放壓抑的心情。,Use Pokémons to comfort the lost villagers and relief the depressing mood.,"낙심하는 마을 주민을 포켓몬으로 위로해 주고, 우울한 기분을 풀어주세요.",2,0,120,<110;114>,{gold=46250;2101=4},{2101=2;5000=3},<0.5;0.7>,3,<6;16;18>,40,2,{14=1},60
1146,Help to find Pokémon,協助尋寵,Help to find Pokémon,애완동물 찾아주기,Help rookie trainers train their Pokémons.,幫助新手訓練家馴服自己的精靈。,Help rookie trainers train their Pokémons.,새로 온 트레이너의 포켓몬 훈련을 도와주세요.,2,0,120,<110;114>,{gold=46250;2101=4},{2101=2;451=6},<0.5;0.7>,3,<12;16;18>,40,3,{2=1},60
1147,Catch the criminal,抓捕罪犯,Catch the criminal,범죄자 체포,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,警方找到通緝多年偷盜精靈的小偷，協助員警進行抓捕！,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,경찰이 수년간 수배한 포켓몬 도둑을 찾아냈습니다. 경찰을 도와 범인을 잡으세요!,3,0,180,<110;114>,{gold=55500;2102=2},{2102=1;900=3},<0.6;0.8>,3,<3;11;16>,40,1,{10=2},60
1148,Protect the villagers,保護村民,Protect the villagers,마을 주민 보호,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,野生的精靈最近暴亂，經常襲擊鎮上村民，請前去保護村民安全！,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,"야생의 포켓몬들이 최근 폭동을 일으켜, 마을 주민을 습격하고 있습니다. 주민들을 지켜주세요!",3,0,180,<110;114>,{gold=55500;2102=2},{2102=1;5000=3},<0.6;0.8>,3,<7;13;5>,40,2,{14=2},60
1149,Follow the target,跟蹤目標,Follow the target,목표 추적,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,員警請求訓練家説明跟蹤目標人物，並回饋行蹤。,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,경찰이 트레이너에게 타깃 인물을 추적하고 행적을 알려달라 요청했습니다.,3,0,180,<110;114>,{gold=55500;2102=2},{2102=1;451=9},<0.6;0.8>,3,<1;11;15>,40,3,{3=2},60
1150,Escort the Professor,護送博士,Escort the Professor,박사님 호송하기,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,博士委託訓練家協會來護送自己，要求安全抵達目的地。,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,박사님이 트레이너 협회에 자신을 목적지까지 안전하게 호송해달라 요청했습니다.,4,15,240,<110;114>,{gold=74000;2102=4},{2102=2;29001=2},<0.9;1.1>,4,<5;7;17>,40,1,{10=2},60
1151,Escort the Document,押運文件,Escort the Document,문서 전달,"The mysterious organization requested for a trainer to protect and deliver the confidential documents. ",神秘機構委託訓練家來幫忙押運機密檔，完成後可獲得豐厚報酬。,"The mysterious organization requested for a trainer to protect and deliver the confidential documents. ",수수께끼의 기관이 트레이너에게 기밀문서 운송을 위탁했습니다. 완료하면 푸짐한 보수를 얻을 수 있습니다,4,15,240,<110;114>,{gold=74000;2102=4},{2102=2;522=1},<0.9;1.1>,4,<3;8;18>,40,2,{14=2},60
1152,Private Investigator,私人偵探,Private Investigator,사설 탐정,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,村民私下委託訓練家們來調查自己物件的行蹤。,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,마을 주민이 사적으로 트레이너들에게 대상의 행적을 조사해달라 위탁했습니다.,4,15,240,<110;114>,{gold=74000;2102=4},{2102=10;gold=20000},<0.9;1.1>,4,<10;13;17>,40,3,{3=2},60
1153,Alola Investigation,阿羅拉調查,Alola Investigation,알로라 조사,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,派遣精靈前往阿羅拉地區，調查當地是否有野生的夢幻出沒。,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,"포켓몬을 알로라 지역으로 파견해, 야생의 뮤가 출몰했는지 조사하라 했습니다.",5,15,300,<110;114>,{gold=92500;2103=2},{2103=1;rmb=100},<1.1;1.3>,4,<10;17;5>,40,1,{10=3},60
1154,Soothe the Pokémon,安撫精靈,Soothe the Pokémon,포켓몬 달래기,Soothe the Pokémons that hinders the citizens from traveling around in this city.,把在本市擾亂市民正常出行的精靈安撫平定下來。,Soothe the Pokémons that hinders the citizens from traveling around in this city.,도시에서 시민들의 정상적인 외출을 방해하는 포켓몬을 달래주세요.,5,15,300,<110;114>,{gold=92500;2103=2},{2103=1;521=1},<1.1;1.3>,4,<13;17;5>,40,2,{14=3},60
1155,Kiwifruit,奇異果實,Kiwifruit,키위,Form a team of Pokémons to explore the forest and find kiwifruits.,組織一隊精靈前往森林進行探索，需找一種名為奇異果實的食物。,Form a team of Pokémons to explore the forest and find kiwifruits.,"포켓몬 팀을 꾸려 숲을 탐색하고, 키위라는 과일을 찾으세요.",5,15,300,<110;114>,{gold=92500;2103=2},{2103=1;501=1},<1.1;1.3>,4,<2;8;16>,40,3,{3=3},60
1156,Eliminate pests,消滅害蟲,Eliminate pests,해충 박멸,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,近期森林中的害蟲氾濫，需要各方精靈前去清除。,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,"최근에 숲에서 해충이 범람하여, 포켓몬을 보내 박멸이 필요함.",1,0,60,<115;119>,{gold=39000;2101=2},{2101=1;900=1},<0.4;0.6>,3,<2;11;17>,30,1,{10=1},70
1157,Pick berries,採集樹果,Pick berries,과일 채집,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,又到了樹果盛產的季節，和精靈組織一場採集樹果的郊遊吧！,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,과일 수확의 계절이 찾아왔습니다. 포켓몬들과 함께 과일을 따러 가세요!,1,0,60,<115;119>,{gold=39000;2101=2},{2101=1;5000=2},<0.4;0.6>,3,<4;10;15>,30,2,{14=1},70
1158,Waste sorting,垃圾分類,Waste sorting,분리수거,Let's sort the waste in order to protect our environment.,為了更好的保護環境，來進行垃圾分類吧。,Let's sort the waste in order to protect our environment.,"환경을 지키기 위해, 쓰레기를 분리수거해주세요.",1,0,60,<115;119>,{gold=39000;2101=2},{2101=1;451=3},<0.4;0.6>,3,<13;5;11>,30,3,{2=1},70
1159,Missing Pokémon,尋寵啟示,Missing Pokémon,애완동물 실종 전단지,The trainer in town has lost his Pokémon. Help him find it.,鎮上的訓練家把自己的精靈弄丟了，需要請求幫忙一起尋找。,The trainer in town has lost his Pokémon. Help him find it.,마을에서 어느 트레이너가 자신의 포켓몬을 잃어버렸답니다. 같이 찾아 주세요.,2,0,120,<115;119>,{gold=48750;2101=4},{2101=2;900=3},<0.5;0.7>,3,<17;5;14>,30,1,{10=1},70
1160,Spiritual Mentor,心靈導師,Spiritual Mentor,심령술사,Use Pokémons to comfort the lost villagers and relief the depressing mood.,用精靈去溫暖失落的村民，釋放壓抑的心情。,Use Pokémons to comfort the lost villagers and relief the depressing mood.,"낙심하는 마을 주민을 포켓몬으로 위로해 주고, 우울한 기분을 풀어주세요.",2,0,120,<115;119>,{gold=48750;2101=4},{2101=2;5000=3},<0.5;0.7>,3,<17;11;6>,30,2,{14=1},70
1161,Help to find Pokémon,協助尋寵,Help to find Pokémon,애완동물 찾아주기,Help rookie trainers train their Pokémons.,幫助新手訓練家馴服自己的精靈。,Help rookie trainers train their Pokémons.,새로 온 트레이너의 포켓몬 훈련을 도와주세요.,2,0,120,<115;119>,{gold=48750;2101=4},{2101=2;451=6},<0.5;0.7>,3,<1;11;17>,30,3,{2=1},70
1162,Catch the criminal,抓捕罪犯,Catch the criminal,범죄자 체포,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,警方找到通緝多年偷盜精靈的小偷，協助員警進行抓捕！,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,경찰이 수년간 수배한 포켓몬 도둑을 찾아냈습니다. 경찰을 도와 범인을 잡으세요!,3,0,180,<115;119>,{gold=58500;2102=2},{2102=1;900=3},<0.6;0.8>,3,<6;11;16>,30,1,{10=2},70
1163,Protect the villagers,保護村民,Protect the villagers,마을 주민 보호,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,野生的精靈最近暴亂，經常襲擊鎮上村民，請前去保護村民安全！,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,"야생의 포켓몬들이 최근 폭동을 일으켜, 마을 주민을 습격하고 있습니다. 주민들을 지켜주세요!",3,0,180,<115;119>,{gold=58500;2102=2},{2102=1;5000=3},<0.6;0.8>,3,<5;11;14>,30,2,{14=2},70
1164,Follow the target,跟蹤目標,Follow the target,목표 추적,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,員警請求訓練家説明跟蹤目標人物，並回饋行蹤。,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,경찰이 트레이너에게 타깃 인물을 추적하고 행적을 알려달라 요청했습니다.,3,0,180,<115;119>,{gold=58500;2102=2},{2102=1;451=9},<0.6;0.8>,3,<5;14;12>,30,3,{3=2},70
1165,Escort the Professor,護送博士,Escort the Professor,박사님 호송하기,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,博士委託訓練家協會來護送自己，要求安全抵達目的地。,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,박사님이 트레이너 협회에 자신을 목적지까지 안전하게 호송해달라 요청했습니다.,4,15,240,<115;119>,{gold=78000;2102=4},{2102=2;29001=2},<0.9;1.1>,4,<11;6;12>,30,1,{10=2},70
1166,Escort the Document,押運文件,Escort the Document,문서 전달,"The mysterious organization requested for a trainer to protect and deliver the confidential documents. ",神秘機構委託訓練家來幫忙押運機密檔，完成後可獲得豐厚報酬。,"The mysterious organization requested for a trainer to protect and deliver the confidential documents. ",수수께끼의 기관이 트레이너에게 기밀문서 운송을 위탁했습니다. 완료하면 푸짐한 보수를 얻을 수 있습니다,4,15,240,<115;119>,{gold=78000;2102=4},{2102=2;522=1},<0.9;1.1>,4,<5;7;13>,30,2,{14=2},70
1167,Private Investigator,私人偵探,Private Investigator,사설 탐정,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,村民私下委託訓練家們來調查自己物件的行蹤。,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,마을 주민이 사적으로 트레이너들에게 대상의 행적을 조사해달라 위탁했습니다.,4,15,240,<115;119>,{gold=78000;2102=4},{2102=10;gold=20000},<0.9;1.1>,4,<2;8;13>,30,3,{3=2},70
